group,home_team,away_team,home_score,away_score,predicted_class,probabilities
Group A,Brazil,Germany,0,2,0,[3.0193882e-04 9.9966395e-01 3.4047094e-05]
Group A,Brazil,Japan,0,4,0,[3.0257166e-04 9.9966335e-01 3.4092463e-05]
Group A,Brazil,Nigeria,3,0,2,[3.0145276e-04 9.9966455e-01 3.4010704e-05]
Group A,Germany,Japan,0,2,0,[3.0235772e-04 9.9966359e-01 3.4079243e-05]
Group A,Germany,Nigeria,2,0,2,[3.012396e-04 9.996648e-01 3.399751e-05]
Group A,Japan,Nigeria,4,0,2,[3.0077901e-04 9.9966526e-01 3.3969816e-05]
Group B,Argentina,France,3,0,2,[3.0145736e-04 9.9966455e-01 3.4013752e-05]
Group B,Argentina,South Korea,0,1,0,[3.0185538e-04 9.9966407e-01 3.4042419e-05]
Group B,Argentina,Egypt,0,3,0,[3.0171755e-04 9.9966419e-01 3.4033139e-05]
Group B,France,South Korea,0,1,0,[3.0202637e-04 9.9966395e-01 3.4052613e-05]
Group B,France,Egypt,0,2,0,[3.0188847e-04 9.9966407e-01 3.4043329e-05]
Group B,South Korea,Egypt,2,2,1,[3.0159793e-04 9.9966431e-01 3.4025808e-05]
Group C,Mexico,Belgium,3,0,2,[3.0141833e-04 9.9966466e-01 3.4006294e-05]
Group C,Mexico,Iran,0,1,0,[3.0199299e-04 9.9966395e-01 3.4050405e-05]
Group C,Mexico,South Africa,0,3,0,[3.0166321e-04 9.9966431e-01 3.4026394e-05]
Group C,Belgium,Iran,0,2,0,[3.0211941e-04 9.9966383e-01 3.4059300e-05]
Group C,Belgium,South Africa,0,1,0,[3.017898e-04 9.996642e-01 3.403528e-05]
Group C,Iran,South Africa,1,0,2,[3.0138268e-04 9.9966466e-01 3.4008823e-05]
Group D,Uruguay,Spain,0,3,0,[3.0203443e-04 9.9966383e-01 3.4055338e-05]
Group D,Uruguay,Saudi Arabia,0,1,0,[3.0156344e-04 9.9966443e-01 3.4018190e-05]
Group D,Uruguay,Cameroon,0,3,0,[3.0178923e-04 9.9966419e-01 3.4035216e-05]
Group D,Spain,Saudi Arabia,3,0,2,[3.012425e-04 9.996648e-01 3.399592e-05]
Group D,Spain,Cameroon,2,0,2,[3.0146830e-04 9.9966455e-01 3.4012974e-05]
Group D,Saudi Arabia,Cameroon,0,1,0,[3.0179866e-04 9.9966407e-01 3.4035151e-05]
Group E,Colombia,England,0,3,0,[3.0185367e-04 9.9966407e-01 3.4041968e-05]
Group E,Colombia,Tunisia,0,2,0,[3.0168879e-04 9.9966419e-01 3.4029963e-05]
Group E,Colombia,Canada,3,0,2,[3.0110753e-04 9.9966490e-01 3.3986231e-05]
Group E,England,Tunisia,2,0,2,[3.0153643e-04 9.9966455e-01 3.4019591e-05]
Group E,England,Canada,3,0,2,[3.0095543e-04 9.9966514e-01 3.3975906e-05]
Group E,Tunisia,Canada,3,0,2,[3.0107456e-04 9.9966502e-01 3.3983160e-05]
Group F,Ecuador,Italy,0,3,0,[3.0151574e-04 9.9966455e-01 3.4017092e-05]
Group F,Ecuador,Australia,0,1,0,[3.0192907e-04 9.9966395e-01 3.4044948e-05]
Group F,Ecuador,Morocco,0,3,0,[3.0174892e-04 9.9966419e-01 3.4033725e-05]
Group F,Italy,Australia,2,2,1,[3.0201575e-04 9.9966395e-01 3.4049204e-05]
Group F,Italy,Morocco,0,1,0,[3.0183553e-04 9.9966407e-01 3.4038007e-05]
Group F,Australia,Morocco,0,2,0,[3.0152666e-04 9.9966455e-01 3.4020628e-05]
Group G,Peru,Netherlands,0,3,0,[3.0202811e-04 9.9966395e-01 3.4048848e-05]
Group G,Peru,USA,0,2,0,[3.017449e-04 9.996642e-01 3.403061e-05]
Group G,Peru,Ghana,0,3,0,[3.0177974e-04 9.9966419e-01 3.4032946e-05]
Group G,Netherlands,USA,0,1,0,[3.0136085e-04 9.9966466e-01 3.4007200e-05]
Group G,Netherlands,Ghana,0,1,0,[3.0139531e-04 9.9966466e-01 3.4009568e-05]
Group G,USA,Ghana,2,2,1,[3.0161062e-04 9.9966443e-01 3.4021046e-05]
Group H,Chile,Portugal,0,3,0,[3.0208111e-04 9.9966383e-01 3.4052999e-05]
Group H,Chile,Costa Rica,0,3,0,[3.0176333e-04 9.9966419e-01 3.4032491e-05]
Group H,Chile,Ivory Coast,0,4,0,[3.0241103e-04 9.9966347e-01 3.4077028e-05]
Group H,Portugal,Costa Rica,0,3,0,[3.0133669e-04 9.9966466e-01 3.4006098e-05]
Group H,Portugal,Ivory Coast,0,1,0,[3.0198376e-04 9.9966395e-01 3.4050601e-05]
Group H,Costa Rica,Ivory Coast,0,2,0,[3.0222515e-04 9.9966371e-01 3.4063549e-05]
